car_ID,brand,fueltype,aspiration,doornumber,carbody,drivewheel,enginelocation,wheelbase,carlength,carwidth,carheight,curbweight,enginetype,cylindernumber,enginesize,fuelsystem,boreratio,stroke,compressionratio,horsepower,peakrpm,citympg,highwaympg,price
17,2,1,0,1,3,2,0,103.5,193.8,67.9,53.7,3380,3,3,209,5,3.62,3.39,8.0,182,5400,16,22,674012910.0
18,2,1,0,0,3,2,0,110.0,197.0,70.9,56.3,3505,3,3,209,5,3.62,3.39,8.0,182,5400,15,20,601660320.0
19,4,1,0,1,2,1,0,88.4,141.1,60.3,53.2,1488,2,4,61,1,2.91,3.03,9.5,48,5100,47,53,84033414.0
20,4,1,0,1,2,1,0,94.5,155.9,63.6,52.0,1874,3,2,90,1,3.03,3.11,9.6,70,5400,38,43,102696630.0
21,4,1,0,0,3,1,0,94.5,158.8,63.6,52.0,1909,3,2,90,1,3.03,3.11,9.6,70,5400,38,43,107264550.0
22,5,1,0,1,2,1,0,93.7,157.3,63.8,50.8,1876,3,2,90,1,2.97,3.23,9.41,68,5500,37,41,90901608.0
23,5,1,0,1,2,1,0,93.7,157.3,63.8,50.8,1876,3,2,90,1,2.97,3.23,9.4,68,5500,31,38,104034378.0
24,5,1,1,1,2,1,0,93.7,157.3,63.8,50.8,2128,3,2,98,5,3.03,3.39,7.6,102,5500,24,30,129810498.0
25,5,1,0,0,2,1,0,93.7,157.3,63.8,50.6,1967,3,2,90,1,2.97,3.23,9.4,68,5500,31,38,101619906.0
26,5,1,0,0,3,1,0,93.7,157.3,63.8,50.6,1989,3,2,90,1,2.97,3.23,9.4,68,5500,31,38,109173288.0
27,5,1,0,0,3,1,0,93.7,157.3,63.8,50.6,1989,3,2,90,1,2.97,3.23,9.4,68,5500,31,38,124133226.0
28,5,1,1,1,3,1,0,93.7,157.3,63.8,50.6,2191,3,2,98,5,3.03,3.39,7.6,102,5500,24,30,139615212.0
29,5,1,0,0,4,1,0,103.3,174.6,64.6,59.8,2535,3,2,122,1,3.34,3.46,8.5,88,5000,24,30,145537194.0
30,5,1,1,1,2,1,0,95.9,173.2,66.3,50.2,2811,3,2,156,4,3.6,3.9,7.0,145,5000,19,24,211494696.0
31,6,1,0,1,2,1,0,86.6,144.6,63.9,50.8,1713,3,2,92,0,2.91,3.41,9.6,58,4800,49,54,105698406.0
32,6,1,0,1,2,1,0,86.6,144.6,63.9,50.8,1819,3,2,92,0,2.91,3.41,9.2,76,6000,31,38,111832470.0
33,6,1,0,1,2,1,0,93.7,150.0,64.0,52.6,1837,3,2,79,0,2.91,3.07,10.1,60,5500,38,42,88079286.0
34,6,1,0,1,2,1,0,93.7,150.0,64.0,52.6,1940,3,2,92,0,2.91,3.41,9.2,76,6000,30,34,106514106.0
35,6,1,0,1,2,1,0,93.7,150.0,64.0,52.6,1956,3,2,92,0,2.91,3.41,9.2,76,6000,30,34,116302506.0
36,6,1,0,0,3,1,0,96.5,163.4,64.0,54.5,2010,3,2,92,0,2.91,3.41,9.2,76,6000,30,34,119010630.0
37,6,1,0,0,4,1,0,96.5,157.1,63.9,58.3,2024,3,2,92,0,2.92,3.41,9.2,76,6000,30,34,119010630.0
38,6,1,0,1,2,1,0,96.5,167.5,65.2,53.3,2236,3,2,110,0,3.15,3.58,9.0,86,5800,27,33,128799030.0
39,6,1,0,1,2,1,0,96.5,167.5,65.2,53.3,2289,3,2,110,0,3.15,3.58,9.0,86,5800,27,33,148375830.0
40,6,1,0,0,3,1,0,96.5,175.4,65.2,54.1,2304,3,2,110,0,3.15,3.58,9.0,86,5800,27,33,144297330.0
41,6,1,0,0,3,1,0,96.5,175.4,62.5,54.1,2372,3,2,110,0,3.15,3.58,9.0,86,5800,27,33,167952630.0
42,6,1,0,0,3,1,0,96.5,175.4,65.2,54.1,2465,3,2,110,5,3.15,3.58,9.0,101,5800,24,28,211184730.0
43,6,1,0,1,3,1,0,96.5,169.1,66.0,51.0,2293,3,2,110,1,3.15,3.58,9.1,100,5500,25,31,168768330.0
44,7,1,0,0,3,2,0,94.3,170.7,61.8,53.5,2337,3,2,111,1,3.31,3.23,8.5,78,4800,24,29,110690490.0
45,7,1,0,1,3,1,0,94.5,155.9,63.6,52.0,1874,3,2,90,1,3.03,3.11,9.6,70,5400,38,43,145463781.0
46,7,1,0,0,3,1,0,94.5,155.9,63.6,52.0,1909,3,2,90,1,3.03,3.11,9.6,70,5400,38,43,145463781.0
47,7,1,0,1,2,2,0,96.0,172.6,65.2,51.4,2734,3,2,119,7,3.43,3.23,9.2,90,5000,24,29,180237072.0
48,8,1,0,0,3,2,0,113.0,199.6,69.6,52.8,4066,0,3,258,5,3.63,4.17,8.1,176,4750,15,19,526126500.0
49,8,1,0,0,3,2,0,113.0,199.6,69.6,52.8,4066,0,3,258,5,3.63,4.17,8.1,176,4750,15,19,579962700.0
50,8,1,0,1,3,2,0,102.0,191.7,70.6,47.8,3950,5,5,326,5,3.54,2.76,11.5,262,5000,13,17,587304000.0
51,9,1,0,1,2,1,0,93.1,159.1,64.2,54.1,1890,3,2,91,1,3.03,3.15,9.0,68,5000,30,31,84751230.0
52,9,1,0,1,2,1,0,93.1,159.1,64.2,54.1,1900,3,2,91,1,3.03,3.15,9.0,68,5000,31,38,99433830.0
53,10,1,0,1,2,1,0,93.1,159.1,64.2,54.1,1905,3,2,91,1,3.03,3.15,9.0,68,5000,31,38,110853630.0
54,10,1,0,0,3,1,0,93.1,166.8,64.2,54.1,1945,3,2,91,1,3.03,3.15,9.0,68,5000,31,38,109222230.0
55,10,1,0,0,3,1,0,93.1,166.8,64.2,54.1,1950,3,2,91,1,3.08,3.15,9.0,68,5000,31,38,120642030.0
56,10,1,0,1,2,2,0,95.3,169.0,65.7,49.6,2380,6,6,70,2,3.33,3.255,9.4,101,6000,17,23,178556730.0
57,10,1,0,1,2,2,0,95.3,169.0,65.7,49.6,2380,6,6,70,2,3.33,3.255,9.4,101,6000,17,23,193239330.0
58,10,1,0,1,2,2,0,95.3,169.0,65.7,49.6,2385,6,6,70,2,3.33,3.255,9.4,101,6000,17,23,222604530.0
59,10,1,0,1,2,2,0,95.3,169.0,65.7,49.6,2500,6,6,80,5,3.33,3.255,9.4,135,6000,16,23,255232530.0
60,10,1,0,1,2,1,0,98.8,177.8,66.5,53.7,2385,3,2,122,1,3.39,3.39,8.6,84,4800,26,32,144297330.0
61,10,1,0,0,3,1,0,98.8,177.8,66.5,55.5,2410,3,2,122,1,3.39,3.39,8.6,84,4800,26,32,138587430.0
62,10,1,0,1,2,1,0,98.8,177.8,66.5,53.7,2385,3,2,122,1,3.39,3.39,8.6,84,4800,26,32,172846830.0
63,10,1,0,0,3,1,0,98.8,177.8,66.5,55.5,2410,3,2,122,1,3.39,3.39,8.6,84,4800,26,32,167136930.0
64,10,0,0,0,3,1,0,98.8,177.8,66.5,55.5,2443,3,2,122,3,3.39,3.39,22.7,64,4650,36,42,176109630.0
65,10,1,0,0,2,1,0,98.8,177.8,66.5,55.5,2425,3,2,122,1,3.39,3.39,8.6,84,4800,26,32,183450930.0
66,10,1,0,0,3,2,0,104.9,175.0,66.1,54.4,2670,3,2,140,5,3.76,3.16,8.0,120,5000,19,27,298219920.0
67,10,0,0,0,3,2,0,104.9,175.0,66.1,54.4,2700,3,2,134,3,3.43,3.64,22.0,72,4200,31,39,299264016.0
68,3,0,1,0,3,2,0,110.0,190.9,70.3,56.5,3515,3,1,183,3,3.58,3.64,21.5,123,4350,22,25,416855328.0
69,3,0,1,0,4,2,0,110.0,190.9,70.3,58.7,3750,3,1,183,3,3.58,3.64,21.5,123,4350,22,25,460837872.0
70,3,0,1,1,1,2,0,106.7,187.5,70.3,54.9,3495,3,1,183,3,3.58,3.64,21.5,123,4350,22,25,459663264.0
71,3,0,1,0,3,2,0,115.6,202.6,71.7,56.3,3770,3,1,183,3,3.58,3.64,21.5,123,4350,22,25,515522400.0
72,3,1,0,0,3,2,0,115.6,202.6,71.7,56.5,3740,5,0,234,5,3.46,3.1,8.3,155,4750,16,18,557677776.0
73,3,1,0,1,0,2,0,96.6,180.3,70.5,50.8,3685,5,0,234,5,3.46,3.1,8.3,155,4750,16,18,571903584.0
74,3,1,0,0,3,2,0,120.9,208.1,71.7,56.7,3900,5,0,308,5,3.8,3.35,8.0,184,4500,14,16,668221440.0
75,3,1,0,1,1,2,0,112.0,199.2,72.0,55.4,3715,5,0,304,5,3.8,3.35,8.0,184,4500,14,16,740655600.0
76,11,1,1,1,2,2,0,102.7,178.4,68.0,54.8,2910,3,2,140,5,3.78,3.12,8.0,175,5000,19,24,269229942.0
77,12,1,0,1,2,1,0,93.7,157.3,64.4,50.8,1918,3,2,92,1,2.97,3.23,9.4,68,5500,37,41,87916146.0
78,12,1,0,1,2,1,0,93.7,157.3,64.4,50.8,1944,3,2,92,1,2.97,3.23,9.4,68,5500,31,38,100967346.0
79,12,1,0,1,2,1,0,93.7,157.3,64.4,50.8,2004,3,2,92,1,2.97,3.23,9.4,68,5500,31,38,108798066.0
80,12,1,1,1,2,1,0,93.0,157.3,63.8,50.8,2145,3,2,98,6,3.03,3.39,7.6,102,5500,24,30,125438346.0
81,12,1,1,1,2,1,0,96.3,173.0,65.4,49.4,2370,3,2,110,6,3.17,3.46,7.5,116,5500,23,30,162471126.0
82,12,1,0,1,2,1,0,96.3,173.0,65.4,49.4,2328,3,2,122,1,3.35,3.46,8.5,88,5000,25,32,138652686.0
83,12,1,1,1,2,1,0,95.9,173.2,66.3,50.2,2833,3,2,156,6,3.58,3.86,7.0,145,5000,19,24,206029506.0
84,12,1,1,1,2,1,0,95.9,173.2,66.3,50.2,2921,3,2,156,6,3.59,3.86,7.0,145,5000,19,24,242572866.0
85,12,1,1,1,2,1,0,95.9,173.2,66.3,50.2,2926,3,2,156,6,3.59,3.86,7.0,145,5000,19,24,236373546.0
86,12,1,0,0,3,1,0,96.3,172.4,65.4,51.6,2365,3,2,122,1,3.35,3.46,8.5,88,5000,25,32,114018546.0
87,12,1,0,0,3,1,0,96.3,172.4,65.4,51.6,2405,3,2,122,1,3.35,3.46,8.5,88,5000,25,32,133595346.0
88,12,1,1,0,3,1,0,96.3,172.4,65.4,51.6,2403,3,2,110,6,3.17,3.46,7.5,116,5500,23,30,151377606.0
89,12,1,0,0,3,1,0,96.3,172.4,65.4,51.6,2403,3,2,110,6,3.17,3.46,7.5,116,5500,23,30,151377606.0
90,13,1,0,1,3,1,0,94.5,165.3,63.8,54.5,1889,3,2,97,1,3.15,3.29,9.4,69,5200,31,37,89710686.0
91,13,0,0,1,3,1,0,94.5,165.3,63.8,54.5,2017,3,2,103,3,2.99,3.47,21.9,55,4800,45,50,115813086.0
92,13,1,0,1,3,1,0,94.5,165.3,63.8,54.5,1918,3,2,97,1,3.15,3.29,9.4,69,5200,31,37,108471786.0
93,13,1,0,0,3,1,0,94.5,165.3,63.8,54.5,1938,3,2,97,1,3.15,3.29,9.4,69,5200,31,37,111734586.0
94,13,1,0,0,4,1,0,94.5,170.2,63.8,53.5,2024,3,2,97,1,3.15,3.29,9.4,69,5200,31,37,119891586.0
95,13,1,0,1,3,1,0,94.5,165.3,63.8,54.5,1951,3,2,97,1,3.15,3.29,9.4,69,5200,31,37,119075886.0
96,13,1,0,1,2,1,0,94.5,165.6,63.8,53.3,2028,3,2,97,1,3.15,3.29,9.4,69,5200,31,37,127232886.0
97,13,1,0,0,3,1,0,94.5,165.3,63.8,54.5,1971,3,2,97,1,3.15,3.29,9.4,69,5200,31,37,122338686.0
98,13,1,0,0,4,1,0,94.5,170.2,63.8,53.5,2037,3,2,97,1,3.15,3.29,9.4,69,5200,31,37,130495686.0
99,13,1,0,1,1,1,0,95.1,162.4,63.8,53.3,2008,3,2,97,1,3.15,3.29,9.4,69,5200,31,37,134574186.0
100,13,1,0,0,2,1,0,97.2,173.4,65.2,54.7,2324,3,2,120,1,3.33,3.47,8.5,97,5200,27,34,145993986.0
101,13,1,0,0,3,1,0,97.2,173.4,65.2,54.7,2302,3,2,120,1,3.33,3.47,8.5,97,5200,27,34,155782386.0
102,13,1,0,0,3,1,0,100.4,181.7,66.5,55.1,3095,5,3,181,5,3.43,3.27,9.0,152,5200,17,22,220222686.0
103,13,1,0,0,4,1,0,100.4,184.6,66.5,56.1,3296,5,3,181,5,3.43,3.27,9.0,152,5200,17,22,234905286.0
104,13,1,0,0,3,1,0,100.4,184.6,66.5,55.1,3060,5,3,181,5,3.43,3.27,9.0,152,5200,19,25,220222686.0
105,13,1,0,1,2,2,0,91.3,170.7,67.9,49.7,3071,5,3,181,5,3.43,3.27,9.0,160,5200,19,25,280584486.0
106,13,1,1,1,2,2,0,91.3,170.7,67.9,49.7,3139,5,3,181,5,3.43,3.27,7.8,200,5200,17,23,321369486.0
107,13,1,0,1,2,2,0,99.2,178.5,67.9,49.7,3139,5,3,181,5,3.43,3.27,9.0,160,5200,19,25,300161286.0
108,14,1,0,0,3,2,0,107.9,186.7,68.4,56.7,3020,2,2,120,5,3.46,3.19,8.4,97,5000,19,24,194136600.0
109,14,0,1,0,3,2,0,107.9,186.7,68.4,56.7,3197,2,2,152,3,3.7,3.52,21.0,95,4150,28,33,215344800.0
110,14,1,0,0,4,2,0,114.2,198.9,68.4,58.7,3230,2,2,120,5,3.46,3.19,8.4,97,5000,19,24,202946160.0
111,14,0,1,0,4,2,0,114.2,198.9,68.4,58.7,3430,2,2,152,3,3.7,3.52,21.0,95,4150,25,25,226112040.0
112,14,1,0,0,3,2,0,107.9,186.7,68.4,56.7,3075,2,2,120,5,3.46,2.19,8.4,95,5000,19,24,254172120.0
113,14,0,1,0,3,2,0,107.9,186.7,68.4,56.7,3252,2,2,152,3,3.7,3.52,21.0,95,4150,28,33,275706600.0
114,14,1,0,0,4,2,0,114.2,198.9,68.4,56.7,3285,2,2,120,5,3.46,2.19,8.4,95,5000,19,24,272362230.0
115,14,0,1,0,4,2,0,114.2,198.9,68.4,58.7,3485,2,2,152,3,3.7,3.52,21.0,95,4150,25,25,278561550.0
116,14,1,0,0,3,2,0,107.9,186.7,68.4,56.7,3075,2,2,120,5,3.46,3.19,8.4,97,5000,19,24,271301820.0
117,14,0,1,0,3,2,0,107.9,186.7,68.4,56.7,3252,2,2,152,3,3.7,3.52,21.0,95,4150,28,33,292836300.0
118,14,1,1,0,3,2,0,108.0,186.7,68.3,56.0,3130,2,2,134,5,3.61,3.21,7.0,142,5600,18,24,296099100.0
119,15,1,0,1,2,1,0,93.7,157.3,63.8,50.8,1918,3,2,90,1,2.97,3.23,9.4,68,5500,37,41,90901608.0
120,15,1,1,1,2,1,0,93.7,157.3,63.8,50.8,2128,3,2,98,6,3.03,3.39,7.6,102,5500,24,30,129810498.0
121,15,1,0,0,2,1,0,93.7,157.3,63.8,50.6,1967,3,2,90,1,2.97,3.23,9.4,68,5500,31,38,101619906.0
122,15,1,0,0,3,1,0,93.7,167.3,63.8,50.8,1989,3,2,90,1,2.97,3.23,9.4,68,5500,31,38,109173288.0
123,15,1,0,0,3,1,0,93.7,167.3,63.8,50.8,2191,3,2,98,1,2.97,3.23,9.4,68,5500,31,38,124133226.0
124,15,1,0,0,4,1,0,103.3,174.6,64.6,59.8,2535,3,2,122,1,3.35,3.46,8.5,88,5000,24,30,145537194.0
125,15,1,1,1,2,2,0,95.9,173.2,66.3,50.2,2818,3,2,156,6,3.59,3.86,7.0,145,5000,19,24,208231896.0
126,17,1,0,1,2,2,0,94.5,168.9,68.3,50.2,2778,3,2,151,5,3.94,3.11,9.5,143,5500,19,27,359201652.0
127,16,1,0,1,1,2,1,89.5,168.9,65.0,51.6,2756,4,3,194,5,3.74,2.9,9.5,207,5900,17,25,530661792.0
128,17,1,0,1,1,2,1,89.5,168.9,65.0,51.6,2756,4,3,194,5,3.74,2.9,9.5,207,5900,17,25,555132792.0
129,17,1,0,1,0,2,1,89.5,168.9,65.0,51.6,2800,4,3,194,5,3.74,2.9,9.5,207,5900,17,25,604074792.0
130,17,1,0,1,2,2,0,98.4,175.7,72.3,50.5,3366,1,0,203,5,3.94,3.11,10.0,288,5750,17,28,512267757.0
131,18,1,0,0,4,1,0,96.1,181.5,66.5,55.2,2579,3,2,132,5,3.46,3.9,8.7,90,5100,23,31,151638630.0
132,18,1,0,1,2,1,0,96.1,176.8,66.6,50.5,2460,3,2,132,5,3.46,3.9,8.7,90,5100,23,31,161427030.0
133,19,1,0,1,2,1,0,99.1,186.6,66.5,56.1,2658,3,2,121,5,3.54,3.07,9.31,110,5250,21,28,193320900.0
134,19,1,0,0,3,1,0,99.1,186.6,66.5,56.1,2695,3,2,121,5,3.54,3.07,9.3,110,5250,21,28,198541380.0
135,19,1,0,1,2,1,0,99.1,186.6,66.5,56.1,2707,3,2,121,5,2.54,2.07,9.3,110,5250,21,28,245362560.0
136,19,1,0,0,3,1,0,99.1,186.6,66.5,56.1,2758,3,2,121,5,3.54,3.07,9.3,110,5250,21,28,253030140.0
137,19,1,1,1,2,1,0,99.1,186.6,66.5,56.1,2808,0,2,121,5,3.54,3.07,9.0,160,5500,19,26,296099100.0
138,19,1,1,0,3,1,0,99.1,186.6,66.5,56.1,2847,0,2,121,5,3.54,3.07,9.0,160,5500,19,26,303766680.0
139,20,1,0,1,2,1,0,93.7,156.9,63.4,53.7,2050,4,2,97,1,3.62,2.36,9.0,69,4900,31,36,83495052.0
140,20,1,0,1,2,1,0,93.7,157.9,63.6,53.7,2120,4,2,108,1,3.62,2.64,8.7,73,4400,26,31,115062642.0
141,20,1,0,1,2,0,0,93.3,157.3,63.8,55.7,2240,4,2,108,1,3.62,2.64,8.7,73,4400,26,31,124035342.0
142,20,1,0,0,3,1,0,97.2,172.0,65.4,52.5,2145,4,2,108,1,3.62,2.64,9.5,82,4800,32,37,116253564.0
143,20,1,0,0,3,1,0,97.2,172.0,65.4,52.5,2190,4,2,108,1,3.62,2.64,9.5,82,4400,28,33,126841350.0
144,20,1,0,0,3,1,0,97.2,172.0,65.4,52.5,2340,4,2,108,5,3.62,2.64,9.0,94,5200,26,32,162487440.0
145,20,1,0,0,3,0,0,97.0,172.0,65.4,54.3,2385,4,2,108,1,3.62,2.64,9.0,82,4800,24,25,150627162.0
146,20,1,1,0,3,0,0,97.0,172.0,65.4,54.3,2510,4,2,108,5,3.62,2.64,7.7,111,4800,24,29,183679326.0
147,20,1,0,0,4,1,0,97.0,173.5,65.4,53.0,2290,4,2,108,1,3.62,2.64,9.0,82,4800,28,32,121751382.0
148,20,1,0,0,4,1,0,97.0,173.5,65.4,53.0,2455,4,2,108,5,3.62,2.64,9.0,94,5200,25,31,166370172.0
149,20,1,0,0,4,0,0,96.9,173.6,65.4,54.9,2420,4,2,108,1,3.62,2.64,9.0,82,4800,23,29,130724082.0
150,20,1,1,0,4,0,0,96.9,173.6,65.4,54.9,2650,4,2,108,5,3.62,2.64,7.7,111,4800,23,23,190775916.0
151,21,1,0,1,2,1,0,95.7,158.7,63.6,54.5,1985,3,2,92,1,3.05,3.03,9.0,62,4800,35,39,87247272.0
152,21,1,0,1,2,1,0,95.7,158.7,63.6,54.5,2040,3,2,92,1,3.05,3.03,9.0,62,4800,31,38,103398132.0
153,21,1,0,0,2,1,0,95.7,158.7,63.6,54.5,2015,3,2,92,1,3.05,3.03,9.0,62,4800,31,38,105845232.0
154,21,1,0,0,4,1,0,95.7,169.7,63.6,59.1,2280,3,2,92,1,3.05,3.03,9.0,62,4800,31,37,112860252.0
155,21,1,0,0,4,0,0,95.7,169.7,63.6,59.1,2290,3,2,92,1,3.05,3.03,9.0,62,4800,27,32,128847972.0
156,21,1,0,0,4,0,0,95.7,169.7,63.6,59.1,3110,3,2,92,1,3.05,3.03,9.0,62,4800,27,32,143204292.0
157,21,1,0,0,3,1,0,95.7,166.3,64.4,53.0,2081,3,2,98,1,3.19,3.03,9.0,70,4800,30,37,113186532.0
158,21,1,0,0,2,1,0,95.7,166.3,64.4,52.8,2109,3,2,98,1,3.19,3.03,9.0,70,4800,30,37,117428172.0
159,21,0,0,0,3,1,0,95.7,166.3,64.4,53.0,2275,3,2,110,3,3.27,3.35,22.5,56,4500,34,36,128847972.0
160,21,0,0,0,2,1,0,95.7,166.3,64.4,52.8,2275,3,2,110,3,3.27,3.35,22.5,56,4500,38,47,127053432.0
161,21,1,0,0,3,1,0,95.7,166.3,64.4,53.0,2094,3,2,98,1,3.19,3.03,9.0,70,4800,38,47,126237732.0
162,21,1,0,0,2,1,0,95.7,166.3,64.4,52.8,2122,3,2,98,1,3.19,3.03,9.0,70,4800,28,34,136352412.0
163,21,1,0,0,3,1,0,95.7,166.3,64.4,52.8,2140,3,2,98,1,3.19,3.03,9.0,70,4800,28,34,151035012.0
164,21,1,0,1,3,2,0,94.5,168.7,64.0,52.6,2169,3,2,98,1,3.19,3.03,9.0,70,4800,29,34,131458212.0
165,21,1,0,1,2,2,0,94.5,168.7,64.0,52.6,2204,3,2,98,1,3.19,3.03,9.0,70,4800,29,34,134394732.0
166,21,1,0,1,3,2,0,94.5,168.7,64.0,52.6,2265,0,2,98,5,3.24,3.08,9.4,112,6600,26,29,151687572.0
167,21,1,0,1,2,2,0,94.5,168.7,64.0,52.6,2300,0,2,98,5,3.24,3.08,9.4,112,6600,26,29,155602932.0
168,21,1,0,1,1,2,0,98.4,176.2,65.6,52.0,2540,3,2,146,5,3.62,3.5,9.3,116,4800,24,30,137836986.0
169,21,1,0,1,1,2,0,98.4,176.2,65.6,52.0,2536,3,2,146,5,3.62,3.5,9.3,116,4800,24,30,157250646.0
170,21,1,0,1,2,2,0,98.4,176.2,65.6,52.0,2551,3,2,146,5,3.62,3.5,9.3,116,4800,24,30,162960546.0
171,21,1,0,1,1,2,0,98.4,176.2,65.6,52.0,2679,3,2,146,5,3.62,3.5,9.3,116,4800,24,30,182700486.0
172,21,1,0,1,2,2,0,98.4,176.2,65.6,52.0,2714,3,2,146,5,3.62,3.5,9.3,116,4800,24,30,188410386.0
173,21,1,0,1,0,2,0,98.4,176.2,65.6,53.0,2975,3,2,146,5,3.62,3.5,9.3,116,4800,24,30,288252066.0
174,21,1,0,0,3,1,0,102.4,175.6,66.5,54.9,2326,3,2,122,5,3.31,3.54,8.7,92,4200,29,34,145977672.0
175,21,0,1,0,3,1,0,102.4,175.6,66.5,54.9,2480,3,2,110,3,3.27,3.35,22.5,73,4500,30,33,174527172.0
176,21,1,0,0,2,1,0,102.4,175.6,66.5,53.9,2414,3,2,122,5,3.31,3.54,8.7,92,4200,27,32,162944232.0
177,21,1,0,0,3,1,0,102.4,175.6,66.5,54.9,2414,3,2,122,5,3.31,3.54,8.7,92,4200,27,32,177789972.0
178,21,1,0,0,2,1,0,102.4,175.6,66.5,53.9,2458,3,2,122,5,3.31,3.54,8.7,92,4200,27,32,183499872.0
179,21,1,0,1,2,2,0,102.9,183.5,67.7,52.0,2976,0,3,171,5,3.27,3.35,9.3,161,5200,20,24,270127212.0
180,21,1,0,1,2,2,0,102.9,183.5,67.7,52.0,3016,0,3,171,5,3.27,3.35,9.3,161,5200,19,24,260991372.0
181,21,1,0,0,3,2,0,104.5,187.8,66.5,54.1,3131,0,3,171,5,3.27,3.35,9.2,156,5200,20,24,255966660.0
182,22,1,0,0,4,2,0,104.5,187.8,66.5,54.1,3151,0,3,161,5,3.27,3.35,9.2,156,5200,19,24,256945500.0
183,23,0,0,1,3,1,0,97.3,171.7,65.5,55.7,2261,3,2,97,3,3.01,3.4,23.0,52,4800,37,46,126841350.0
184,24,1,0,1,3,1,0,97.3,171.7,65.5,55.7,2209,3,2,109,5,3.19,3.4,9.0,85,5250,27,34,130104150.0
185,24,0,0,0,3,1,0,97.3,171.7,65.5,55.7,2264,3,2,97,3,3.01,3.4,23.0,52,4800,37,46,130430430.0
186,24,1,0,0,3,1,0,97.3,171.7,65.5,55.7,2212,3,2,109,5,3.19,3.4,9.0,85,5250,27,34,133693230.0
187,24,1,0,0,3,1,0,97.3,171.7,65.5,55.7,2275,3,2,109,5,3.19,3.4,9.0,85,5250,27,34,138587430.0
188,24,0,1,0,3,1,0,97.3,171.7,65.5,55.7,2319,3,2,97,3,3.01,3.4,23.0,68,4500,37,42,154901430.0
189,24,1,0,0,3,1,0,97.3,171.7,65.5,55.7,2300,3,2,109,5,3.19,3.4,10.0,100,5500,26,32,163058430.0
190,26,1,0,1,0,1,0,94.5,159.3,64.2,55.6,2254,3,2,109,5,3.19,3.4,8.5,90,5500,24,29,189160830.0
191,26,1,0,1,2,1,0,94.5,165.7,64.0,51.4,2221,3,2,109,5,3.19,3.4,8.5,90,5500,24,29,162813720.0
192,24,1,0,0,3,1,0,100.4,180.2,66.9,55.1,2661,3,1,136,5,3.19,3.4,8.5,110,5500,19,24,216894630.0
193,24,0,1,0,3,1,0,100.4,180.2,66.9,55.1,2579,3,2,97,3,3.01,3.4,23.0,68,4500,33,38,225867330.0
194,24,1,0,0,4,1,0,100.4,183.1,66.9,55.1,2563,3,2,109,5,3.19,3.4,9.0,88,5500,25,31,200499060.0
195,25,1,0,0,3,2,0,104.3,188.8,67.2,56.2,2912,3,2,141,5,3.78,3.15,9.5,114,5400,23,28,211103160.0
196,25,1,0,0,4,2,0,104.3,188.8,67.2,57.5,3034,3,2,141,5,3.78,3.15,9.5,114,5400,23,28,218852310.0
